gene_id,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08
AT5G05275|AT5G05275,4,2,6,6,4,3,3,6
AT5G27720|emb1644,2343,2475,2170,2396,2244,2201,2259,2895
AT5G47870|RAD52-2,1438,1556,1367,1390,1382,1581,1726,1445
AT1G08287|ath-MIR5647,0,0,0,0,0,0,0,0
AT1G09053|AT1G09053,0,0,0,0,0,0,0,0
AT4G09820|TT8,0,4,0,0,0,16,16,0
AT2G40510|AT2G40510,3965,3820,3171,3722,2990,3723,3541,2463
AT1G60690|AT1G60690,1509,1885,1702,1234,1432,1623,1647,1385
AT3G11860|AT3G11860,0,0,0,0,0,0,0,0
AT5G14980|AT5G14980,6,0,26,0,0,7,0,9
AT5G08810|U2.16,1,1,3,1,1,1,2,1
AT5G03820|AT5G03820,0,0,0,0,0,0,0,0
AT2G09385|AT2G09385,0,0,0,0,0,0,0,0
AT3G23740|AT3G23740,154,108,129,133,98,84,87,193
AT3G05575|AT3G05575,0,0,0,0,0,0,0,0
AT5G16140|AT5G16140,650,648,573,521,577,642,619,754
AT5G07805|AT5G07805,0,0,0,0,0,0,0,0
AT3G01010|AT3G01010,0,0,0,0,0,0,0,0
AT5G20160|AT5G20160,2097,2115,1413,1747,1614,1753,1876,2527
AT2G36710|AT2G36710,0,0,0,0,0,0,12,0
AT3G53260|PAL2,28668,31096,24833,22261,28205,33140,31799,29054
AT4G20210|AT4G20210,0,0,0,0,0,0,0,0
AT5G11130|AT5G11130,0,0,0,0,0,0,0,0
ATCG00710|psbH,56,52,43,65,67,68,72,61
AT1G06597|ath-MIR5654,1,1,1,1,1,1,1,1
AT1G66140|ZFP4,956,1111,1121,943,670,888,879,876
AT5G09500|AT5G09500,0,0,0,0,0,0,0,0
AT2G14580|PRB1,0,0,0,0,0,0,0,0
AT1G77100|AT1G77100,3,0,0,5,0,0,0,0
AT5G37830|OXP1,3181,3442,3363,3182,2899,3286,3165,3706
AT3G58120|BZIP61,2516,3521,2630,3006,91,61,65,38
AT1G75600|AT1G75600,0,0,0,0,0,0,0,0
AT1G46408|AGL97,0,0,0,0,0,0,0,0
AT3G14850|TBL41,345,345,244,274,284,298,324,261
AT5G64010|AT5G64010,206,188,229,265,248,197,281,253
AT3G21250|ABCC8,3860,4034,3675,2840,4354,6018,5058,6229
AT5G44600|AT5G44600,531,694,448,495,492,479,438,669
AT3G57010|AT3G57010,176,211,136,216,258,190,242,134
AT3G48480|AT3G48480,52,34,13,43,62,38,15,65
AT5G22990|AT5G22990,0,0,0,0,0,0,0,0
AT3G50770|CML41,103,86,78,128,98,49,113,35
AT3G07410|RABA5b,248,247,156,169,186,253,211,189
AT4G09825|AT4G09825,0,0,0,0,0,0,0,0
AT1G07510|ftsh10,3932,5094,3681,4212,4677,3751,4247,3601
AT3G25520|ATL5,24691,22057,14594,18502,18946,22770,20611,24715
AT1G77060|AT1G77060,3368,3695,2441,3650,3284,2377,2881,2339
AT5G08225|AT5G08225,0,0,2,0,6,2,0,7
AT1G75270|DHAR2,618,703,593,702,522,590,603,635
AT2G38695|AT2G38695,369,411,311,381,202,441,318,274
AT5G19710|AT5G19710,0,0,0,0,0,0,0,0
AT1G14120|AT1G14120,0,0,0,0,0,0,0,0
AT2G34740|AT2G34740,0,0,0,0,0,0,0,0
AT5G03390|AT5G03390,163,195,93,75,100,83,97,82
AT3G52030|AT3G52030,830,1059,933,1061,853,872,935,1192
AT3G17650|YSL5,6619,8003,6967,7146,5571,5661,6387,8041
AT1G08610|AT1G08610,443,402,191,324,300,250,213,262
AT1G74930|ORA47,70,48,21,60,337,29,119,23
AT3G61290|AT3G61290,0,0,0,0,0,0,0,0
AT5G05915|ath-MIR3933,0,0,0,0,0,0,0,0
AT1G75630|AVA-P4,2337,2735,2481,2546,2136,2328,2533,1883
AT5G04070|AT5G04070,368,379,378,380,296,260,356,453
AT5G22000|RHF2A,5809,6231,5529,6140,6953,6463,7601,7557
AT3G12250|TGA6,383,365,431,353,333,370,455,444
AT1G21880|LYM1,1333,1558,1131,1100,805,870,774,649
AT5G66600|AT5G66600,352,450,391,383,629,746,625,557
AT3G45645|AT3G45645,0,0,0,0,0,0,0,0
AT1G07263|AT1G07263,0,0,0,0,0,0,0,0
AT5G04830|AT5G04830,5322,7137,5832,4894,6176,5897,6986,6188
AT5G45290|AT5G45290,1142,1420,1237,1322,918,986,922,1104
AT3G01095|AT3G01095,0,0,0,0,0,0,0,0
AT1G01460|PIPK11,0,0,0,0,0,0,0,0
AT3G16830|TPR2,5009,4979,3906,4387,4480,4784,4391,5276
AT1G74456|AT1G74456,83,96,57,84,94,89,72,142
AT4G05225|AT4G05225,0,0,0,0,0,0,0,0
AT1G13960|WRKY4,1224,1343,1265,1245,1058,1003,1277,1060
AT5G09835|AT5G09835,0,0,0,0,0,0,0,0
AT3G28740|CYP81D11,3,0,0,0,8,11,0,0
AT1G70830|MLP28,2824,2495,1900,2676,2538,3102,2553,2016
AT4G35485|AT4G35485,0,0,0,0,0,0,0,1
AT3G19360|AT3G19360,374,376,230,301,242,270,237,333
AT3G08045|AT3G08045,0,0,0,3,0,0,11,0
AT1G56520|AT1G56520,1573,1863,1675,1330,1549,1729,1747,2503
AT3G05625|AT3G05625,1249,1204,1307,1101,1261,1466,1380,1123
AT2G28340|GATA13,0,0,0,0,0,0,0,0
AT3G07115,0,0,0,0,0,0,0,0
AT3G57090|BIGYIN,1529,1605,1402,1636,1591,1290,1713,1435
AT5G00810|AT5G00810,0,0,0,0,0,0,0,0
AT4G40090|AGP3,20,25,52,35,15,0,9,22
AT5G56670|AT5G56670,4393,3581,2289,3026,2650,3298,3389,2780
AT2G32670|VAMP725,11,19,27,25,16,31,12,14
AT1G63970|ISPF,5490,5759,4902,5045,4689,5093,5442,5339
AT3G17120|AT3G17120,1544,1560,1234,1159,5993,1728,3042,1728
AT3G57220|AT3G57220,850,994,750,978,541,684,752,898
AT2G03520|UPS4,11,21,13,7,18,23,0,4
AT5G14620|DRM2,568,530,432,452,536,616,601,635
AT4G09785|AT4G09785,50,40,42,40,39,38,30,24
AT1G07090|LSH6,343,326,417,478,281,314,255,280
AT5G62550|AT5G62550,336,299,227,392,214,349,215,394
AT5G45000|AT5G45000,150,81,115,287,116,66,201,313
AT5G52210|GB1,1011,987,699,1100,650,401,477,631
AT4G29760|AT4G29760,0,0,0,0,0,4,0,0
AT5G17800|MYB56,5,11,12,12,11,10,12,9
AT1G28900,0,0,0,0,0,0,0,0
AT3G43210|TES,431,359,306,397,368,410,351,563
AT3G07730|AT3G07730,118,186,168,135,212,214,334,370
