transcript_id,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08
AT2G08655.1,1,1,2,0,1,3,1,2
AT4G04480.1,1,0,0,0,1,0,0,32
AT1G31380.1,0,0,0,0,0,0,0,0
AT1G03340.1,86,35,70,63,89,108,103,130
AT1G04440.1,3980,4323,3596,4746,3651,2960,3794,4557
AT5G13090.1,1368,1459,1239,1118,1292,1616,1642,1713
AT2G30190.1,0,0,0,0,0,0,0,0
AT1G31390.1,0,0,0,0,0,0,0,0
AT1G04487.1,0,0,0,0,0,0,0,0
AT3G10680.1,209,214,91,193,254,267,181,198
AT3G03915.1,0,0,0,0,3,0,0,0
AT5G22020.1,2382,1542,2646,2181,2652,2861,2660,3072
AT3G20900.1,0,0,0,0,0,0,0,0
AT3G05385.1,0,2,0,0,0,0,0,0
AT2G19000.1,0,0,0,0,0,0,0,0
AT3G11500.1,38,0,0,0,0,15,0,0
AT2G27700.2,0,0,0,0,0,0,0,0
AT2G27700.1,0,0,0,0,0,0,0,0
AT3G11500.2,1360,1256,1129,1173,1135,1207,1317,1359
AT5G24630.11,0,0,0,8,0,0,0,0
AT1G05170.2,1354,1676,1413,735,2247,2323,3113,3250
AT1G05170.1,12,19,461,491,2142,2711,2946,1972
AT5G24630.12,0,0,0,8,0,0,0,0
AT4G17098.2,0,0,0,1,0,11,11,12
AT4G17098.3,163,122,75,155,49,34,42,55
AT3G60730.1,7,4,6,8,11,13,11,0
AT1G67750.1,617,396,569,461,1124,1734,1229,1353
AT2G02370.3,9,12,30,24,24,19,10,12
AT2G02370.2,0,0,0,0,0,0,0,0
AT2G02370.1,208,280,245,202,223,180,247,270
AT4G25440.1,343,224,229,240,208,314,200,396
AT4G25440.2,154,181,136,315,284,128,182,146
AT4G25440.3,0,104,18,20,39,8,113,0
AT1G56000.2,10,13,10,1,2,4,2,13
AT1G56000.1,1671,2116,1692,1655,1722,1758,2002,2087
AT3G07920.1,0,0,0,0,4,0,0,0
AT3G59940.1,8292,9110,5662,8803,6115,6387,12075,6420
AT5G61412.1,20,8,0,9,7,34,51,13
AT3G51470.1,509,407,309,313,131,196,205,138
AT3G51470.2,89,114,111,249,102,141,97,100
AT3G04250.1,0,0,0,0,0,0,0,0
AT3G53075.2,0,0,0,0,0,0,0,0
AT4G12840.3,2,9,4,6,14,5,13,14
AT3G53075.1,0,0,0,0,0,0,0,0
AT2G05075.1,132,118,94,131,104,81,196,101
